date,p0,p1,p2,p3,refit_date
2020-08-31,0.3071745417994686,0.6901476193094376,0.0026468922135145503,3.094667757931735e-05,2019-12-31
2020-09-30,2.2475549935394257e-06,0.0027508875477966974,0.994710681888156,0.0025361830090536715,2019-12-31
2020-10-31,1.1705755057338953e-10,1.6339074792318914e-07,0.9999915388112877,8.297680906862666e-06,2019-12-31
2020-11-30,3.5799533696745603e-06,5.595927789691762e-07,0.9999957921485246,6.830532672198518e-08,2019-12-31
2020-12-31,0.00022656219987312722,0.9997734378001133,7.941210352439838e-24,1.3635748768806721e-14,2020-12-31
2021-01-31,0.012444763579846417,0.9875552357517623,1.1187918836049535e-20,6.683913073427916e-10,2020-12-31
2021-02-28,0.9995216473703189,0.00047697923834884103,2.5203022834283488e-18,1.3733913320782946e-06,2020-12-31
2021-03-31,0.9999999995910052,1.0391913580392243e-10,1.6925950735865114e-23,3.050756332278937e-10,2020-12-31
2021-04-30,0.9999999999999879,3.274706412418475e-16,8.475874332980074e-21,1.1823657730338397e-14,2020-12-31
2021-05-31,0.9999999999999858,2.5325083406538203e-17,1.4119442501700974e-14,1.0709198460254715e-30,2020-12-31
2021-06-30,0.9999999999894641,9.86132187444521e-19,1.0535934250028932e-11,1.1776094999123775e-31,2020-12-31
2021-07-31,0.9999999987045607,6.762700339202933e-17,1.2954391820629722e-09,8.808985295370018e-23,2020-12-31
2021-08-31,0.9999999989758414,5.676120440757246e-17,1.0241563705972423e-09,2.3140672115835754e-15,2020-12-31
2021-09-30,0.9999999998579625,9.463235524036596e-14,1.4194050316605278e-10,2.3672778867359753e-15,2020-12-31
2021-10-31,0.9999999999930533,1.747078571663651e-19,6.9466737706127965e-12,4.058047382122556e-18,2020-12-31
2021-11-30,0.9999730604235516,2.807481058212396e-10,2.693929569406818e-05,6.245138510866013e-15,2020-12-31
2021-12-31,0.9999689132917031,5.366666320155441e-19,3.108670828679532e-05,1.0013003618885848e-14,2021-12-31
2022-01-31,0.950902039358981,6.076074696230451e-10,0.04909796003341094,6.27579413128325e-16,2021-12-31
2022-02-28,0.0026648119106980127,1.2271506069070073e-05,0.9973229165832328,1.0971221890781104e-16,2021-12-31
2022-03-31,8.30806087969582e-09,1.1176993810585735e-10,0.9999999915801692,6.6222275869407e-23,2021-12-31
2022-04-30,9.32517517188787e-20,1.1158077863509476e-12,0.9999999999988841,3.4485861949770007e-28,2021-12-31
2022-05-31,1.4560438892890984e-21,3.747160847667198e-14,0.9999999999999626,9.514420643495367e-25,2021-12-31
2022-06-30,4.040828498747082e-28,1.2768708347747077e-15,0.9999999999999988,9.318471896857792e-27,2021-12-31
2022-07-31,6.126172184343524e-27,1.2679494382326683e-17,1.0,2.8574519180893934e-24,2021-12-31
2022-08-31,2.1893040461574552e-35,3.4782325472433166e-18,1.0,9.83141469518846e-25,2021-12-31
2022-09-30,1.8214715171100848e-49,1.518065121254724e-20,1.0,2.3146756144401868e-22,2021-12-31
2022-10-31,9.103452377318874e-56,4.853742289992551e-22,1.0,2.4259813219796047e-23,2021-12-31
2022-11-30,4.421630109088994e-48,1.5012444078557382e-16,0.9999999999999999,6.181730373540242e-20,2021-12-31
2022-12-31,1.9151747292569694e-61,1.7648688002746258e-29,1.5062899559222687e-08,0.9999999849371004,2022-12-31
2023-01-31,9.373703078234458e-63,6.063442328385095e-21,1.836253855482223e-07,0.9999998163746144,2022-12-31
