date,p0,p1,p2,p3
2012-08-31,1.0,4.089375847165042e-27,1.0196703692157876e-39,3.3841406302762753e-47
2012-09-30,1.0,7.143682800432379e-18,8.580113139987199e-35,3.316127100047108e-50
2012-10-31,1.0,1.6611797937417437e-17,2.182099790959875e-34,7.863585726709828e-42
2012-11-30,1.0,2.5166104356605863e-16,1.0116925741664345e-27,8.7932110842855e-40
2012-12-31,0.9999999999995453,4.304846338265545e-13,3.972168339707286e-38,7.980645283428193e-42
2013-01-31,1.0,5.802251661346029e-17,2.1573597547849174e-47,3.606534649514129e-51
2013-02-28,1.0,1.2425637244325801e-17,4.246593624953992e-52,8.09655796399258e-64
2013-03-31,1.0,5.672565039563528e-24,2.1399701060311008e-44,1.805963463811163e-56
2013-04-30,1.0,8.699027951189741e-22,3.0687648364383947e-34,1.0941940877121693e-44
2013-05-31,1.0,1.2476651580213667e-13,5.5068205314186e-45,1.732206809108041e-47
2013-06-30,0.9999999999995453,4.3414115251386793e-13,4.68166726135559e-62,7.698918597375748e-65
2013-07-31,1.0,7.91409920957448e-17,8.09610156582212e-62,2.6504158181217384e-75
2013-08-31,1.0,3.683073355992439e-14,1.0279052043100104e-66,5.512351377063595e-77
2013-09-30,1.0,3.2432967836095087e-15,2.4906637385313544e-65,1.7831555969211174e-82
2013-10-31,1.0,5.406136709793727e-18,2.458978531451185e-63,2.7613795663557135e-78
2013-11-30,1.0,4.541004195212972e-18,1.3918670343681008e-72,4.0163879413603253e-75
2013-12-31,1.0,1.503305997948339e-16,2.1024092691393067e-77,3.6250370588056885e-84
2014-01-31,1.0,1.0661949918573551e-14,4.339063545562818e-66,5.125455769242924e-90
2014-02-28,1.0,4.1846611511756465e-17,2.0621682606771718e-62,1.2095825509171642e-77
2014-03-31,1.0,1.6119661834806556e-16,1.2097721617477941e-63,2.1705399045331154e-76
2014-04-30,1.0,6.424937653467838e-19,2.8132730517386076e-65,7.317020477747692e-77
2014-05-31,1.0,1.1511539284898653e-20,9.355479774326839e-55,9.146428307783983e-76
2014-06-30,1.0,1.940794189197781e-20,4.0565524783140547e-44,2.0507993176186654e-57
